"name","url","poem"
"EF180mm F3.5L マクロ USM","https://cweb.canon.jp/ef/lineup/macro/ef180-f35l/","近寄れない被写体を大きく写しとる望遠マクロレンズ。"
"MP-E65mm F2.8 1-5×マクロフォト","https://cweb.canon.jp/ef/lineup/macro/mp-e65-f28/","5倍までの拡大撮影が可能なマクロ撮影専用レンズ。"
"TS-E17mm F4L","https://cweb.canon.jp/ef/lineup/ts-e/ts-e17-f4l/","高い光学性能と操作性を備えた超広角アオリレンズ。"
"TS-E24mm F3.5L II","https://cweb.canon.jp/ef/lineup/ts-e/ts-e24-f35lii/","高い光学性能と操作性を備えた広角アオリレンズ。"
"TS-E45mm F2.8","https://cweb.canon.jp/ef/lineup/ts-e/ts-e45-f28/","ティルト・シフト機能を備えた標準アオリレンズ。"
"TS-E50mm F2.8L マクロ","https://cweb.canon.jp/ef/lineup/ts-e/ts-e50-f28l/","高い光学性能に加えマクロ撮影も可能な標準アオリレンズ"
"TS-E90mm F2.8L マクロ","https://cweb.canon.jp/ef/lineup/ts-e/ts-e90-f28l/","高い光学性能に加えマクロ撮影も可能な中望遠アオリレンズ"
"TS-E90mm F2.8","https://cweb.canon.jp/ef/lineup/ts-e/ts-e90-f28/","ティルト・シフト機能を備えた中望遠アオリレンズ。"
"TS-E135mm F4L マクロ","https://cweb.canon.jp/ef/lineup/ts-e/ts-e135-f4l/","高い光学性能に加えマクロ撮影も可能な望遠アオリレンズ"
"EF-S10-18mm F4.5-5.6 IS STM","https://cweb.canon.jp/ef/lineup/ef-s/ef-s10-18-f4.5-5.6-is-stm/","手軽に広角の世界を楽しめる、超広角ズームレンズ。"
"EF-S10-22mm F3.5-4.5 USM","https://cweb.canon.jp/ef/lineup/ef-s/ef-s10-22-f35-45/","広い画角を楽しめる超広角ズームレンズ。"
"EF-S15-85mm F3.5-5.6 IS USM","https://cweb.canon.jp/ef/lineup/ef-s/ef-s15-85-f35-56/","広角から望遠までカバーする標準ズームレンズ。"
"EF-S17-55mm F2.8 IS USM","https://cweb.canon.jp/ef/lineup/ef-s/ef-s17-55-f28/","IS搭載と高画質を実現した標準ズームレンズ。"
"EF-S18-55mm F3.5-5.6 IS II","https://cweb.canon.jp/ef/lineup/ef-s/ef-s18-55-f35-56is-ii/","コンパクトながら描写力と操作性に優れた標準ズームレンズ。"
"EF-S18-55mm F3.5-5.6 IS STM","https://cweb.canon.jp/ef/lineup/ef-s/ef-s18-55-f35-56is-stm/","描写力を備え快適なAFを実現した標準ズームレンズ。"
"EF-S18-55mm F4-5.6 IS STM","https://cweb.canon.jp/ef/lineup/ef-s/ef-s18-55-f4-56is-stm/","スムーズなAFを実現した小型軽量ズームレンズ"
"EF-S18-135mm F3.5-5.6 IS USM","https://cweb.canon.jp/ef/lineup/ef-s/ef-s18-135-f35-56is-usm/",""
"EF-S18-135mm F3.5-5.6 IS STM","https://cweb.canon.jp/ef/lineup/ef-s/ef-s18-135-f35-56is-stm/","静止画・動画で快適なAFを実現する高倍率ズームレンズ。"
"EF-S18-200mm F3.5-5.6 IS","https://cweb.canon.jp/ef/lineup/ef-s/ef-s18-200-f35-56is/","あらゆるシーンに対応した約11倍の高倍率ズームレンズ。"
"EF-S24mm F2.8 STM","https://cweb.canon.jp/ef/lineup/ef-s/ef-s24-f28-stm/","自然な画角とやわらかいボケ味を楽しめる薄型パンケーキレンズ。"
