"name","url","poem"
"Sonnar T＊ FE 35mm F2.8 ZA","https://www.sony.jp/ichigan/products/SEL35F28Z/","ツァイス「ゾナーT＊」レンズがもたらす、画面全体の高いコントラストと解像力\n小型の鏡筒にマッチする専用レンズフード\nα7シリーズにふさわしい、小型高性能で汎用性の高い35mm単焦点レンズ\n使い勝手のよい開放絞り値F2.8\n35mmフルサイズ対応、高性能ツァイス広角単焦点レンズ"
"Planar T* FE 50mm F1.4 ZA","https://www.sony.jp/ichigan/products/SEL50F14Z/","「プラナー」の名にふさわしい像面平坦性を実現。高コントラストと高い解像力で、撮影者の表現意図に応えるF1.4プレミアム標準レンズ\n立体感を演出する美しく自然なぼけ味\nツァイスレンズならではの高いコントラストと圧倒的な解像力を実現\n撮影者をサポートする操作性・信頼性\n高解像度時代に求められる、高精度で高速なフォーカス駆動を実現"
"FE 50mm F1.8","https://www.sony.jp/ichigan/products/SEL50F18F/","開放F値1.8、単焦点レンズならではのぼけ味を生かした撮影が可能\n非球面レンズを使用した新規光学設計により高画質を実現\n新規光学設計により高画質を実現した、小型・軽量な開放F値1.8の大口径標準単焦点レンズ\n金属マウントの採用により、優れた堅牢性を実現\n携帯性に優れた小型・軽量デザイン"
"Sonnar T＊ FE 55mm F1.8 ZA","https://www.sony.jp/ichigan/products/SEL55F18Z/","絞り羽根9枚の円形絞りによる美しいぼけ味\n35mmフルサイズ対応、開放絞り値F1.8の高性能単焦点標準レンズ\nツァイス「ゾナーT＊」レンズならではの高いコントラストと圧倒的な解像力\n35mmフルサイズ対応のF1.8大口径レンズ"
"FE 85mm F1.4 GM","https://www.sony.jp/ichigan/products/SEL85F14GM/","新開発の超高度非球面XA（extreme aspherical）レンズにより、美しいぼけ味を損なうことなく高い解像感を実現\n2つの位置検出センサーにより高精度にフォーカスレンズ位置を検出し、高解像度時代に求められる高いAF精度を実現\n3枚のED（特殊低分散）ガラスを適切に配置することで、軸上色収差も効果的に補正\n絞りリング、MFリング、AF/MFスイッチ、フォーカスホールドボタン搭載など、プロユースに応える高い操作性\n開放F1.4、解像感と美しいぼけ味を両立させ、高次元の表現力を手に入れたポートレートレンズ\nナノARコーティング採用により反射を抑えたヌケの良い描写性能\nαとして初めて採用された11枚羽根の円形絞りにより、自然できれいなぼけ表現が可能"
"FE 85mm F1.8","https://www.sony.jp/ichigan/products/SEL85F18/","シャープな描写と柔らかいぼけを生かし、ポートレート撮影を手軽に楽しめる大口径中望遠単焦点レンズ\nカスタマイズ可能なフォーカスホールドボタンなど操作性も充実\n高速・高精度で静かなフォーカス駆動"
"FE 100mm F2.8 STF GM OSS","https://www.sony.jp/ichigan/products/SEL100F28GM/","口径食（＊）の発生を抑えた設計と11枚羽根の円形絞り\n作品づくりに集中できる、高速・高精度AF対応\nアポダイゼーション光学エレメントで高めた、洗練されたぼけ描写\nSTFレンズのTナンバー\nぼけを生かした近接撮影に対応する、マクロ域切り換え機能搭載\n低速シャッター時に威力を発揮する、光学式手ブレ補正機構搭載\n撮影者をサポートする、操作性と信頼性\nG Masterならではの、極めて高い解像性能\nシャープな描写と息をのむ柔らかなぼけ味を追求した、中望遠単焦点STFレンズ"
"FE 400mm F2.8 GM OSS","https://www.sony.jp/ichigan/products/SEL400F28GM/","革新的な技術で高速・高精度AFと妥協のない高解像を圧倒的な軽量化を実現したボディに凝縮した大口径望遠レンズ\n1.4× テレコンバーター\n新設計の11枚羽根円形絞りを採用。製造工程でも球面収差調整を徹底的に行い、美しいぼけ味を追求\n高い堅牢性を実現するフルマグネシウム合金製の鏡筒\n新開発XD（extreme dynamic）リニアモーターにより、高速・高精度かつ静粛・低振動なAF駆動を実現\nカスタマイズ可能なフォーカスホールドボタンを4箇所配置\n光学式手ブレ補正機構を内蔵。不規則で激しい動体撮影時に安定したフレーミングを可能にするMODE3を初搭載\n2× テレコンバーター\nトランクタイプの専用ハードケースを付属\n1.4倍、2.0倍のテレコンバーターに対応。装着時も精緻なAFと描写力を発揮\nマニュアルフォーカス時の応答性に優れたリニア・レスポンスMFを採用\n剛性と耐久性を高めた新規マウント部\nVF-DCPL1\nSEL14TC\nSEL20TC\n蛍石レンズ3枚をはじめ光学エレメントを効果的に配置した高い解像性能\n各部名称\nレンズ最前面にフッ素コーティングを採用\nAF-Cモード時でもフォーカスリングを回すだけでMF操作が可能なフルタイムDMFスイッチ搭載\nナノARコーティングの採用に加え、鏡筒内壁に植毛を施すことで、抜けの良いクリアな描写を実現\n最小絞りF22まで対応する高速・高精度AF追随連写\n差し込みタイプのフィルターを装着可能\n差し込み式円偏光フィルター\nプリセットフォーカス/ファンクションの2つの機能を切り換えられるファンクションリングを搭載\nフォーカスレンジリミッター搭載\nプロフェッショナルの撮影を強力にサポートする高い操作性\n業界最軽量クラス（＊1）約2,895gによる高い機動性と優れた重量バランス\n高耐久かつ高い操作性の三脚座を採用\n過酷な撮影環境での使用にも耐える信頼性\n軽量かつ堅牢なカーボンファイバー製レンズフード"
"E16mm F2.8","https://www.sony.jp/ichigan/products/SEL16F28/",""
"E 20mm F2.8","https://www.sony.jp/ichigan/products/SEL20F28/",""
"Sonnar T＊ E 24mm F1.8 ZA","https://www.sony.jp/ichigan/products/SEL24F18Z/",""
"E 35mm F1.8 OSS","https://www.sony.jp/ichigan/products/SEL35F18/",""
"E 50mm F1.8 OSS","https://www.sony.jp/ichigan/products/SEL50F18/",""
"FE 50mm F2.8 Macro","https://www.sony.jp/ichigan/products/SEL50M28/","小型・軽量設計で、等倍撮影も可能な35mmフルサイズ対応標準マクロレンズ\n画面周辺までシャープな描写を実現\n倍率/距離表示を備え、マクロレンズとしての利便性を向上\n至近距離だけでなく、通常領域でも使用可能\n最短撮影距離0.16mで、被写体に接近しての撮影が可能\n小型・軽量で日常使いに最適なフルサイズ対応の高性能標準マクロレンズ\nフォーカスモードスイッチ、フォーカスレンジリミッター、フォーカスホールドボタンが快適なマクロ撮影をサポート\n被写体を引き立たせるぼけを生かした撮影表現が可能"
"FE 90mm F2.8 Macro G OSS","https://www.sony.jp/ichigan/products/SEL90M28G/","Gレンズならではの美しいぼけ味と高解像度を両立した、FEレンズ初となる中望遠マクロレンズ\nダイレクトドライブSSMによるフォーカス駆動\n手持ち撮影時に威力を発揮する、光学式手ブレ補正機能搭載\nGレンズならではの美しいぼけ味\n「ナノARコーティング」採用により、フレア・ゴーストを抑えたヌケの良い高画質を実現\n撮影距離に関わらず、周辺までクリアに描写\nマクロ撮影に求められる操作性を実現"
"E 30mm F3.5 Macro","https://www.sony.jp/ichigan/products/SEL30M35/",""
"FE 400mm F2.8 GM OSS、FE 70-200mm F2.8 GM OSS、FE 100-400mm F4.5-5.6 GM OSS用","https://www.sony.jp/ichigan/products/SEL14TC/",""
"FE 400mm F2.8 GM OSS、FE 70-200mm F2.8 GM OSS、FE 100-400mm F4.5-5.6 GM OSS用","https://www.sony.jp/ichigan/products/SEL20TC/",""
"FE 28mm F2用","https://www.sony.jp/ichigan/products/SEL057FEC/","手軽にフィッシュアイ撮影が楽しめる、FE 28mm F2専用コンバーター"
"FE 28mm F2用","https://www.sony.jp/ichigan/products/SEL075UWC/","手軽に超広角のデフォルメ効果を楽しめる、FE 28mm F2専用コンバーター"
"E 16mm F2.8、E 20mm F2.8用","https://www.sony.jp/ichigan/products/VCL-ECF2/","手軽にフィッシュアイ撮影が楽しめるE 16mm F2.8、E 20mm F2.8対応コンバーター"
"E 16mm F2.8、E 20mm F2.8用","https://www.sony.jp/ichigan/products/VCL-ECU2/","手軽に超広角のパースペクティブの効いた撮影が楽しめるE 16mm F2.8、E 20mm F2.8対応コンバーター"
"Vario-Sonnar T* 16-35mm F2.8 ZA SSM II","https://www.sony.jp/ichigan/products/SAL1635Z2/","ズーム全域で開放F値2.8を誇る、高性能大口径広角ズームレンズ\nZEISS「T＊（ティースター）コーティング」の特性向上によるゴーストを抑えたクリアな描写\n動体追尾性能が向上した高性能AF"
